surface_m2,nb_chambres,quartier,annee_construction,garage,prix
116,5,Banlieue Nord,1957,1,327400
43,1,Zone Industrielle,1999,0,86900
34,1,Quartier Résidentiel,1999,0,113900
50,2,Quartier Résidentiel,1950,0,173700
46,1,Quartier Résidentiel,1953,0,199600
141,5,Quartier Résidentiel,1979,1,548800
89,3,Quartier Résidentiel,2015,1,346000
90,3,Zone Industrielle,1984,1,226100
52,1,Centre-Ville,1976,1,323000
37,1,Zone Industrielle,1970,1,79400
,1,Banlieue Nord,1986,1,149900
71,1,Banlieue Nord,1966,1,213100
128,5,Zone Industrielle,1950,1,265700
339,10,Quartier Résidentiel,1968,0,1332500
159,6,Banlieue Sud,1996,1,404500
105,4,Banlieue Sud,2009,0,320100
25,1,Banlieue Nord,1950,0,76900
71,2,Quartier Résidentiel,1978,1,265300
151,5,Quartier Résidentiel,1976,1,550100
99,3,Quartier Résidentiel,1977,1,411800
64,2,Centre-Ville,1975,1,391500
91,3,Banlieue Sud,2019,0,265700
64,2,Centre-Ville,2022,0,428500
213,8,Zone Industrielle,2002,1,454900
146,5,Banlieue Nord,2002,1,415900
80,3,Quartier Résidentiel,1996,0,336300
153,6,Quartier Résidentiel,2009,1,625500
94,3,Banlieue Sud,1976,0,250200
57,2,Banlieue Sud,1995,1,214300
98,3,Zone Industrielle,1975,1,203100
108,4,Banlieue Sud,1968,0,281900
126,5,Banlieue Nord,1960,0,341000
38,1,Banlieue Sud,2017,0,120200
75,2,Centre-Ville,2013,0,449300
57,1,Zone Industrielle,2012,1,141500
54,1,Banlieue Sud,2003,0,172700
66,4,Zone Industrielle,1961,0,128200
243,10,Banlieue Sud,1970,0,588900
21,1,Centre-Ville,1950,1,124200
36,1,Banlieue Sud,1994,1,133800
62,2,Zone Industrielle,1982,1,127200
55,2,Quartier Résidentiel,1955,1,204200
147,6,Quartier Résidentiel,1957,1,556600
110,4,Quartier Résidentiel,2009,1,615500
92,3,Banlieue Nord,2001,1,311600
126,4,Banlieue Sud,2009,1,400200
57,2,Banlieue Sud,1995,1,151200
80,3,Banlieue Sud,1966,0,229800
126,4,Quartier Résidentiel,1975,0,418600
69,2,Zone Industrielle,2021,1,154400
91,3,Quartier Résidentiel,1969,0,301200
66,2,Banlieue Sud,1960,0,177900
143,5,Banlieue Sud,1957,1,311700
147,5,Banlieue Nord,1994,0,517800
44,1,Banlieue Sud,1959,1,126700
96,3,Centre-Ville,2014,1,617100
88,1,Banlieue Nord,1968,1,265800
55,2,Zone Industrielle,2004,0,111200
110,4,Banlieue Sud,1983,0,295100
85,3,Centre-Ville,2008,1,546000
79,3,Centre-Ville,1971,1,422400
146,5,Quartier Résidentiel,2017,0,547100
57,2,Banlieue Sud,1973,1,164700
84,2,Quartier Résidentiel,1981,1,335100
145,5,Centre-Ville,1985,0,746500
117,4,Quartier Résidentiel,1973,0,458900
95,3,Banlieue Sud,1984,1,262200
78,2,Zone Industrielle,1967,0,155800
55,2,Zone Industrielle,2008,1,131100
45,1,Banlieue Sud,1964,1,152900
106,4,Quartier Résidentiel,1995,1,423400
170,7,Quartier Résidentiel,2007,1,776300
29,2,Banlieue Nord,1969,1,100000
117,4,Centre-Ville,1953,1,555100
143,4,Centre-Ville,2023,0,828700
137,5,Centre-Ville,1994,1,797100
82,4,Quartier Résidentiel,1981,0,289800
95,4,Banlieue Sud,1955,1,265700
101,4,Banlieue Sud,1954,0,271100
73,3,Banlieue Sud,1953,1,194100
68,2,Quartier Résidentiel,2001,0,290100
132,5,Banlieue Sud,1952,0,291500
73,3,Zone Industrielle,1980,0,128700
28,1,Banlieue Sud,2015,0,65300
88,3,Banlieue Nord,2006,1,249600
152,6,Banlieue Sud,2002,1,415400
172,6,Banlieue Nord,1975,1,495500
133,4,Quartier Résidentiel,1976,1,554700
89,3,Banlieue Sud,2011,1,319500
80,3,Quartier Résidentiel,1962,1,324200
60,3,Banlieue Sud,1971,0,152200
97,3,Banlieue Sud,1959,0,253800
234,8,Banlieue Sud,1972,1,695400
117,4,Banlieue Nord,1977,1,376400
53,1,Banlieue Nord,2022,1,188100
148,5,Quartier Résidentiel,2005,1,634100
39,1,Quartier Résidentiel,2016,1,162600
46,2,Banlieue Sud,1963,0,113800
122,4,Quartier Résidentiel,1959,0,406900
82,3,Banlieue Sud,1979,0,218100
96,2,Centre-Ville,1989,0,499300
116,4,Centre-Ville,2008,0,675100
90,3,Quartier Résidentiel,2015,1,350200
119,4,Banlieue Sud,1992,1,265100
42,1,Banlieue Sud,1982,1,126900
95,3,Banlieue Nord,1967,0,260600
22,1,Quartier Résidentiel,1985,0,88200
28,1,Banlieue Nord,1988,1,79000
129,4,Banlieue Sud,1984,1,343000
120,4,Banlieue Sud,1967,1,318500
131,4,Banlieue Sud,1957,1,339700
83,3,Banlieue Nord,1952,0,232000
139,5,Quartier Résidentiel,2007,1,562600
108,5,Banlieue Nord,1950,0,311600
127,5,Quartier Résidentiel,1960,0,537700
61,2,Zone Industrielle,1978,1,100700
48,2,Zone Industrielle,1998,1,103100
95,4,Centre-Ville,2018,1,578400
166,6,Banlieue Sud,1975,0,448900
44,1,Quartier Résidentiel,1966,1,197600
29,1,Banlieue Sud,2007,0,87100
49,1,Quartier Résidentiel,1976,1,143700
84,3,Quartier Résidentiel,1966,1,308700
107,4,Quartier Résidentiel,1995,1,403900
72,2,Banlieue Nord,1978,0,214000
64,2,Banlieue Sud,1983,0,174400
69,3,Banlieue Nord,1969,0,203200
88,3,Quartier Résidentiel,1992,1,342700
29,1,Banlieue Sud,1983,1,92000
137,4,Zone Industrielle,1984,1,267300
236,8,Banlieue Sud,2019,1,818800
86,2,Banlieue Sud,2015,1,307700
56,2,Zone Industrielle,2018,1,133100
55,2,Centre-Ville,1975,0,288500
86,3,Banlieue Sud,1988,1,234500
69,4,Centre-Ville,1999,0,461500
83,3,Quartier Résidentiel,2001,1,333500
78,3,Centre-Ville,2004,0,391700
103,4,Banlieue Nord,1987,0,338000
68,3,Banlieue Nord,1960,1,185900
34,1,Centre-Ville,2022,0,153800
64,2,Quartier Résidentiel,1972,0,220300
49,2,Banlieue Sud,2015,1,132500
80,3,Centre-Ville,1953,1,393700
63,2,Quartier Résidentiel,1966,1,223400
81,3,Banlieue Sud,1977,1,210900
139,4,Quartier Résidentiel,2024,1,557200
274,10,Quartier Résidentiel,2021,0,1311000
194,8,Quartier Résidentiel,2010,1,910100
43,1,Quartier Résidentiel,2007,0,163700
141,6,Banlieue Sud,2005,1,394600
66,1,Quartier Résidentiel,2018,1,241800
100,4,Banlieue Nord,1997,0,245700
83,3,Quartier Résidentiel,1958,0,302200
50,2,Quartier Résidentiel,1987,0,194700
153,5,Quartier Résidentiel,2015,0,757500
143,6,Quartier Résidentiel,1971,0,466400
49,1,Centre-Ville,2023,0,250900
64,2,Banlieue Sud,1986,0,195800
98,3,Banlieue Sud,2008,1,286100
54,1,Banlieue Sud,1999,1,173200
120,4,Quartier Résidentiel,2006,1,376300
63,2,Banlieue Sud,1993,1,183100
82,2,Banlieue Sud,1982,0,215100
86,3,Banlieue Sud,2001,1,265200
140,5,Banlieue Sud,2013,1,455600
44,1,Quartier Résidentiel,1964,1,171600
47,1,Centre-Ville,1950,0,224100
99,3,Banlieue Sud,2003,0,283200
63,2,Banlieue Sud,1957,1,193200
100,2,Banlieue Sud,1957,1,267400
35,1,Banlieue Nord,1998,0,109600
127,5,Banlieue Nord,2006,0,339900
216,8,Quartier Résidentiel,1966,1,657700
138,6,Banlieue Nord,1957,1,390300
61,2,Banlieue Sud,2011,1,204000
227,9,Centre-Ville,1953,0,1220500
65,1,Banlieue Nord,2020,0,214000
52,2,Banlieue Sud,1973,1,190500
98,4,Quartier Résidentiel,2009,1,349500
83,3,Quartier Résidentiel,1962,0,317100
51,2,Banlieue Nord,1991,1,192900
32,1,Zone Industrielle,2022,0,65500
72,2,Banlieue Sud,1970,1,189400
40,2,Banlieue Sud,1991,0,107900
124,5,Banlieue Sud,1966,0,350000
86,3,Quartier Résidentiel,2016,1,359600
116,4,Banlieue Sud,1990,1,313300
63,3,Banlieue Nord,2010,0,217500
132,5,Zone Industrielle,1982,0,241600
46,1,Banlieue Sud,1959,0,105000
58,3,Zone Industrielle,1973,1,106700
344,10,Quartier Résidentiel,1978,1,1292800
78,2,Zone Industrielle,2021,0,166400
81,2,Quartier Résidentiel,1956,1,320400
72,3,Centre-Ville,1973,1,415900
265,10,Banlieue Sud,1971,0,748500
29,1,Quartier Résidentiel,1990,1,131500
65,2,Banlieue Nord,1955,1,204400
112,5,Banlieue Sud,1977,0,358400
129,5,Quartier Résidentiel,2007,0,520200
57,2,Quartier Résidentiel,2008,0,182500
69,2,Banlieue Sud,1953,0,166800
74,3,Quartier Résidentiel,2013,1,300700
125,5,Banlieue Nord,2013,1,407100
132,4,Banlieue Sud,2001,1,436800
138,5,Zone Industrielle,2005,1,306400
73,2,Quartier Résidentiel,1980,1,310200
167,6,Quartier Résidentiel,1952,1,609700
58,2,Zone Industrielle,2019,0,136600
99,2,Zone Industrielle,1983,1,202900
62,1,Quartier Résidentiel,1992,1,276100
41,2,Centre-Ville,1969,1,202200
62,1,Banlieue Nord,2012,1,223700
54,2,Banlieue Nord,2018,1,206500
75,3,Banlieue Sud,1952,0,173000
109,4,Quartier Résidentiel,2019,1,503700
92,3,Centre-Ville,1962,1,440800
107,4,Banlieue Sud,1982,1,375800
80,3,Banlieue Nord,2023,1,287200
62,2,Centre-Ville,1991,1,330500
102,3,Quartier Résidentiel,1957,1,389700
41,1,Zone Industrielle,1975,1,97100
101,3,Zone Industrielle,1969,1,220000
96,5,Quartier Résidentiel,1982,1,373100
51,2,Quartier Résidentiel,1967,0,186400
46,3,Centre-Ville,1969,1,221400
104,4,Banlieue Nord,1958,1,284300
61,2,Zone Industrielle,1987,1,152400
94,3,Quartier Résidentiel,2002,0,365600
34,1,Banlieue Nord,1957,0,91800
94,3,Zone Industrielle,1957,0,168800
110,4,Quartier Résidentiel,1991,1,525500
27,1,Banlieue Sud,1958,1,84900
64,2,Quartier Résidentiel,1982,0,270100
48,1,Centre-Ville,1966,1,291900
184,6,Quartier Résidentiel,1957,0,550300
185,7,Quartier Résidentiel,1951,1,537500
46,1,Quartier Résidentiel,1972,1,193200
158,7,Quartier Résidentiel,1953,0,549600
232,8,Quartier Résidentiel,1980,1,936900
194,7,Quartier Résidentiel,2021,1,801400
47,2,Banlieue Nord,2013,1,154700
61,2,Quartier Résidentiel,1959,0,203400
68,3,Banlieue Nord,1979,1,219400
51,1,Quartier Résidentiel,1974,1,183300
86,3,Quartier Résidentiel,1982,1,307900
42,2,Zone Industrielle,2006,0,98500
148,6,Quartier Résidentiel,1971,1,590200
76,2,Quartier Résidentiel,1967,1,298400
116,4,Zone Industrielle,2021,0,233600
46,2,Quartier Résidentiel,2024,0,214700
67,1,Zone Industrielle,2008,1,150000
146,6,Banlieue Nord,1952,1,432000
83,4,Banlieue Sud,1990,0,208200
188,7,Banlieue Sud,1972,0,504200
62,3,Quartier Résidentiel,1990,0,244600
171,6,Banlieue Sud,1950,1,501200
44,2,Centre-Ville,1956,1,188300
51,1,Centre-Ville,1957,0,258400
83,2,Quartier Résidentiel,1952,0,321700
112,4,Quartier Résidentiel,2024,1,473000
162,7,Banlieue Nord,1966,1,440900
109,4,Banlieue Sud,1966,1,293600
105,4,Zone Industrielle,2006,1,250800
75,2,Quartier Résidentiel,1991,1,298500
69,2,Centre-Ville,1958,0,331900
171,5,Banlieue Sud,1976,1,425800
221,7,Centre-Ville,2004,0,1234300
58,2,Banlieue Sud,2021,1,199900
274,10,Banlieue Sud,1950,1,645100
33,1,Centre-Ville,2008,1,218300
45,1,Zone Industrielle,1993,0,93200
,1,Banlieue Nord,1986,0,128400
110,4,Banlieue Sud,1977,0,261800
79,3,Banlieue Sud,2012,1,222000
68,3,Banlieue Nord,1998,1,203500
116,6,Zone Industrielle,1956,0,247900
155,5,Centre-Ville,2023,1,1050800
158,6,Centre-Ville,1989,0,966000
155,6,Banlieue Sud,1967,0,478300
,10,Quartier Résidentiel,1965,1,1302600
44,1,Centre-Ville,1963,1,276400
41,1,Banlieue Nord,1954,1,147600
63,2,Quartier Résidentiel,2021,1,244100
63,2,Quartier Résidentiel,2015,1,277700
63,1,Quartier Résidentiel,2022,1,261700
154,6,Zone Industrielle,2017,0,352400
58,2,Banlieue Sud,1959,1,154000
50,2,Banlieue Sud,2006,1,185000
41,1,Banlieue Sud,2010,0,109100
50,1,Banlieue Sud,1973,1,135900
167,7,Centre-Ville,1966,0,878500
188,7,Quartier Résidentiel,2000,1,697900
111,5,Centre-Ville,2011,0,665100
110,4,Banlieue Sud,2011,1,314400
142,6,Quartier Résidentiel,2022,1,494200
178,7,Centre-Ville,1995,1,1006300
202,8,Quartier Résidentiel,1984,1,1060900
100,4,Quartier Résidentiel,2012,1,442700
93,4,Banlieue Sud,1969,1,319300
85,2,Quartier Résidentiel,1960,1,362700
36,1,Centre-Ville,2005,1,224300
98,3,Banlieue Nord,1950,0,291100
37,1,Banlieue Sud,1991,1,123600
26,1,Banlieue Sud,1968,1,85900
173,6,Banlieue Sud,1991,0,530300
46,2,Quartier Résidentiel,1999,1,181800
85,3,Banlieue Nord,1953,1,281200
70,2,Banlieue Nord,1987,1,246800
117,4,Centre-Ville,1994,1,665000
167,6,Centre-Ville,1957,1,713000
99,3,Centre-Ville,1983,1,578800
161,6,Banlieue Nord,1971,1,492300
44,1,Banlieue Sud,1969,1,115700
63,2,Quartier Résidentiel,1970,1,270200
56,2,Quartier Résidentiel,2008,0,224500
33,1,Quartier Résidentiel,2024,1,131400
110,5,Zone Industrielle,2014,1,273800
115,5,Banlieue Nord,1979,1,362300
119,4,Centre-Ville,2007,1,709900
100,4,Banlieue Sud,1961,1,236500
81,2,Banlieue Nord,2022,0,292200
80,3,Banlieue Sud,1966,0,211100
105,4,Banlieue Sud,1992,1,330800
132,4,Quartier Résidentiel,1988,0,548100
65,2,Zone Industrielle,1994,0,126400
54,2,Banlieue Nord,1996,1,180300
34,1,Zone Industrielle,1998,1,86800
248,10,Banlieue Sud,2021,0,703200
68,3,Banlieue Nord,1973,0,246500
56,2,Quartier Résidentiel,1980,1,192600
75,3,Banlieue Sud,2000,0,210700
173,6,Banlieue Nord,1967,1,506900
,1,Zone Industrielle,1994,0,75800
35,1,Zone Industrielle,1955,1,70500
106,3,Banlieue Sud,1964,0,230100
84,3,Zone Industrielle,1963,1,177800
106,4,Banlieue Nord,2001,1,405700
162,6,Zone Industrielle,1998,1,333000
41,1,Quartier Résidentiel,1985,1,206200
50,1,Banlieue Nord,1951,0,137300
66,2,Zone Industrielle,1958,0,123800
32,1,Zone Industrielle,1962,0,64300
81,2,Banlieue Nord,1961,1,255100
174,6,Quartier Résidentiel,1967,1,636500
67,3,Quartier Résidentiel,1950,1,252700
69,2,Banlieue Sud,1989,1,233300
101,4,Quartier Résidentiel,1971,0,386400
68,3,Quartier Résidentiel,1992,1,252400
170,7,Banlieue Nord,2012,1,558700
186,7,Quartier Résidentiel,1956,0,706300
55,1,Banlieue Sud,1960,1,159000
156,6,Quartier Résidentiel,2024,1,771200
98,4,Banlieue Sud,1958,1,268000
87,3,Banlieue Sud,2011,0,222500
90,4,Quartier Résidentiel,1967,1,344400
145,5,Banlieue Nord,1971,1,438800
96,3,Banlieue Sud,1950,1,256100
54,2,Banlieue Sud,1960,0,154000
68,2,Centre-Ville,2004,1,415100
67,3,Quartier Résidentiel,1980,0,201700
59,2,Zone Industrielle,2010,1,134900
79,2,Banlieue Nord,1982,1,221600
98,4,Banlieue Nord,1972,0,322300
65,3,Banlieue Sud,2016,1,193800
85,4,Banlieue Sud,2006,0,259600
107,5,Quartier Résidentiel,1963,1,438200
89,3,Quartier Résidentiel,2004,1,409600
35,1,Banlieue Sud,2011,0,106300
58,2,Zone Industrielle,2000,1,157200
80,2,Banlieue Nord,1985,0,248000
88,2,Centre-Ville,1959,0,380100
72,2,Centre-Ville,2013,1,394100
117,4,Banlieue Nord,1955,0,336200
33,1,Quartier Résidentiel,1998,0,126900
108,4,Banlieue Nord,1977,1,369900
41,1,Banlieue Nord,2022,0,135800
31,1,Centre-Ville,1972,0,188400
92,2,Zone Industrielle,1959,0,195600
97,3,Quartier Résidentiel,2008,1,390800
108,4,Quartier Résidentiel,1975,1,439600
140,5,Banlieue Nord,2011,1,350800
108,4,Zone Industrielle,1956,1,269400
189,7,Quartier Résidentiel,2024,1,806900
96,3,Centre-Ville,1959,1,513000
167,5,Banlieue Sud,2012,1,500200
99,3,Quartier Résidentiel,1973,1,339900
75,3,Banlieue Nord,2017,1,283400
139,5,Quartier Résidentiel,1979,1,481000
144,6,Centre-Ville,1973,1,838500
33,1,Quartier Résidentiel,1966,0,128800
41,2,Centre-Ville,1995,1,234400
46,2,Zone Industrielle,2005,0,103800
203,8,Centre-Ville,1984,1,1281400
103,3,Centre-Ville,2001,0,710400
113,4,Banlieue Sud,1994,0,323300
75,3,Banlieue Nord,2004,0,217700
193,8,Quartier Résidentiel,2018,0,924700
64,3,Banlieue Sud,2023,1,194300
167,6,Banlieue Nord,2010,0,574300
50,2,Quartier Résidentiel,1995,1,203300
48,1,Banlieue Nord,2024,0,146800
163,7,Zone Industrielle,1991,1,365800
159,6,Quartier Résidentiel,1956,1,638200
191,8,Banlieue Sud,1964,1,565600
232,8,Banlieue Nord,1954,1,713600
106,4,Banlieue Sud,1994,0,288700
231,10,Centre-Ville,2012,0,1361900
58,2,Banlieue Nord,1979,1,223100
99,3,Centre-Ville,1975,1,587000
88,3,Banlieue Nord,2021,0,308800
79,3,Quartier Résidentiel,2005,1,275800
58,1,Quartier Résidentiel,2021,1,247800
54,2,Zone Industrielle,1973,1,106500
104,4,Zone Industrielle,2019,1,233100
66,2,Quartier Résidentiel,1994,1,336000
161,6,Centre-Ville,2004,1,1023000
22,1,Quartier Résidentiel,1975,1,88000
80,3,Zone Industrielle,1995,1,199200
88,3,Quartier Résidentiel,1957,1,293200
52,2,Centre-Ville,1962,0,278400
122,5,Banlieue Sud,1971,0,328200
63,2,Quartier Résidentiel,2014,1,304300
82,3,Quartier Résidentiel,1974,0,307900
220,9,Banlieue Sud,2013,0,660000
82,3,Centre-Ville,2018,1,387300
98,3,Quartier Résidentiel,2014,0,389900
91,3,Banlieue Nord,1989,0,282700
313,10,Banlieue Nord,2019,1,1284700
119,5,Banlieue Nord,2010,0,286600
38,1,Zone Industrielle,1952,1,73400
146,5,Banlieue Sud,1972,1,404300
53,2,Banlieue Sud,1992,1,167500
232,8,Zone Industrielle,2010,0,433500
53,1,Centre-Ville,2018,1,325100
194,6,Zone Industrielle,1966,1,360600
74,2,Zone Industrielle,2018,1,198900
38,1,Banlieue Sud,1978,0,89600
69,3,Banlieue Nord,1999,0,223200
43,1,Centre-Ville,2021,0,254500
62,2,Banlieue Nord,1971,1,204000
42,1,Quartier Résidentiel,1973,0,160900
95,3,Banlieue Sud,2021,0,224000
,1,Centre-Ville,1958,0,207000
54,2,Centre-Ville,1993,0,358600
125,4,Banlieue Nord,2006,0,426300
121,4,Banlieue Nord,1957,1,346800
218,8,Banlieue Nord,1987,1,631700
69,2,Banlieue Sud,2011,1,215800
127,5,Centre-Ville,2022,0,700700
,1,Banlieue Sud,1986,1,143100
68,3,Banlieue Sud,1953,1,197400
136,5,Quartier Résidentiel,1970,1,585100
321,10,Banlieue Nord,1952,0,941600
93,3,Quartier Résidentiel,1988,0,316200
83,3,Centre-Ville,1974,1,388200
79,3,Banlieue Nord,1990,0,224500
207,8,Quartier Résidentiel,2006,1,895600
44,1,Centre-Ville,1987,1,218500
52,1,Quartier Résidentiel,1969,1,213000
34,1,Zone Industrielle,1988,0,75800
176,6,Quartier Résidentiel,1985,1,721900
24,1,Centre-Ville,2007,0,129100
124,5,Banlieue Sud,2003,1,309900
52,3,Quartier Résidentiel,1950,1,184600
55,2,Banlieue Sud,2011,1,196700
24,1,Zone Industrielle,2019,1,64700
76,3,Banlieue Sud,1956,0,194600
52,2,Quartier Résidentiel,2011,0,203300
62,2,Banlieue Sud,1965,0,170300
111,4,Centre-Ville,2023,1,783500
45,2,Quartier Résidentiel,2006,0,203700
39,1,Centre-Ville,1972,1,262500
184,8,Zone Industrielle,2008,1,429600
71,2,Quartier Résidentiel,1951,0,218700
83,3,Banlieue Sud,1968,0,242700
134,6,Banlieue Nord,1993,1,393500
43,1,Centre-Ville,1962,1,224300
39,1,Zone Industrielle,1986,0,84900
208,8,Zone Industrielle,2005,0,416200
100,4,Quartier Résidentiel,2004,1,393600
35,2,Banlieue Sud,1952,1,104200
90,3,Banlieue Nord,1985,0,268200
81,3,Banlieue Sud,2023,1,245900
,6,Banlieue Nord,1972,1,495300
62,2,Quartier Résidentiel,1956,0,266100
44,1,Quartier Résidentiel,1967,0,152100
59,1,Banlieue Sud,1953,1,145600
127,4,Banlieue Nord,1956,1,388900
105,4,Banlieue Sud,1970,0,313700
125,4,Centre-Ville,1964,0,668500
68,2,Banlieue Sud,1952,1,185000
115,4,Centre-Ville,1966,1,577100
159,6,Centre-Ville,2021,1,878000
149,6,Zone Industrielle,1972,1,321400
110,3,Quartier Résidentiel,1953,1,459700
53,1,Quartier Résidentiel,2003,1,243300
135,6,Zone Industrielle,1969,0,253200
132,5,Banlieue Sud,2016,0,454100
129,6,Quartier Résidentiel,2013,0,529700
69,2,Quartier Résidentiel,1983,0,273300
183,6,Centre-Ville,1984,1,1066700
60,2,Zone Industrielle,1956,0,106000
